bieming,daoyan,movie_name,ranking,score,score_num,url
昔日翩翩少年，今日大腹便便。,"
                            导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...",禁闭岛,86,8.6,351020,https://movie.douban.com/subject/2334904/
相逢只要一瞬间，等待却像是一辈子。,"
                            导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...",甜蜜蜜,87,8.7,228290,https://movie.douban.com/subject/1305164/
被上帝抛弃了的上帝之城。,"
                            导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea...",上帝之城,88,8.9,155613,https://movie.douban.com/subject/1292208/
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,"
                            导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...",阳光姐妹淘,89,8.8,262855,https://movie.douban.com/subject/4917726/
最不可能的那个人永远是最可能的。,"
                            导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet",致命ID,90,8.6,311104,https://movie.douban.com/subject/1297192/
我们都曾经是一一。,"
                            导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...",一一,91,8.9,152188,https://movie.douban.com/subject/1292434/
没有一人完全善，也没有一人完全恶。,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...",告白,92,8.7,334413,https://movie.douban.com/subject/4268598/
人言可畏。,"
                            导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...",狩猎,93,9.0,122767,https://movie.douban.com/subject/6985810/
小清新的故事里注入了大历史的情怀。,"
                            导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...",布达佩斯大饭店,94,8.7,299545,https://movie.douban.com/subject/11525673/
约翰尼·德普的独角戏。,"
                            导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...",加勒比海盗,95,8.6,334869,https://movie.douban.com/subject/1298070/
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...",末代皇帝,96,8.9,158547,https://movie.douban.com/subject/1293172/
每个人心中都有一座断背山。,"
                            导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...",断背山,97,8.6,311199,https://movie.douban.com/subject/1418834/
缘分是个连绵词，最美不过一瞬。,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",爱在黎明破晓前,98,8.7,214493,https://movie.douban.com/subject/1296339/
绝对意义上的美轮美奂。,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...",阿凡达,99,8.6,517451,https://movie.douban.com/subject/1652587/
大时代中的人生，小人物的悲喜。,"
                            导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...",摩登时代,100,9.2,85261,https://movie.douban.com/subject/1294371/
骗子大师和执著警探的你追我跑故事。 ,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...",猫鼠游戏,101,8.7,215212,https://movie.douban.com/subject/1305487/
童话世界的开端。,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint",哈利·波特与魔法石,102,8.7,244217,https://movie.douban.com/subject/1295038/
动画片的圣经。,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...",风之谷,103,8.8,171909,https://movie.douban.com/subject/1291585/
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...",爱在日落黄昏时,104,8.7,193738,https://movie.douban.com/subject/1291990/
少女情怀总是诗。,"
                            导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...",侧耳倾听,105,8.8,163374,https://movie.douban.com/subject/1297052/
幸福是生生不息，却难以触及的远。 ,"
                            导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子",萤火虫之墓,106,8.7,199125,https://movie.douban.com/subject/1293318/
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,"
                            导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / ...",穿条纹睡衣的男孩,107,8.9,136993,https://movie.douban.com/subject/3008247/
和谐的生活离不开摸头与被摸头。,"
                            导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...",驯龙高手,108,8.7,276952,https://movie.douban.com/subject/2353023/
